Company Name,Industry,Symbol,Series,ISIN Code,Bloomberg Code
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,HUVR IS Equity
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,HZ IS Equity
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,POWERIND IS Equity
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,HOMEFIRS IS Equity
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,HONASA IS Equity
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,HWA IS Equity
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,HUDCO IS Equity
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,HYUNDAI IS Equity
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,ICICIBC IS Equity
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,ICICIGI IS Equity
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,IPRU IS Equity
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,IDBI IS Equity
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,IDFCFB IS Equity
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,IFCI IS Equity
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,IIFL IS Equity
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034,INOXINDI IS Equity
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,IRB IS Equity
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,IRCON IS Equity
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,ITCHOTEL IS Equity
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,ITC IS Equity
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,ITI IS Equity
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017,INDGN IS Equity
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,ICEM IS Equity
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,INMART IS Equity
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,INBK IS Equity
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,IEX IS Equity
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,IH IS Equity
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,IOCL IS Equity
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,IOB IS Equity
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,IRCTC IS Equity
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,IRFC IS Equity
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,IREDA IS Equity
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,IGL IS Equity
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,INDUSTOW IS Equity
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,IIB IS Equity
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,INFOE IS Equity
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,INFO IS Equity
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,INXW IS Equity
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,INDA IS Equity
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,INDIGO IS Equity
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021,IGIL IS Equity
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022,IKS IS Equity
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,IPCA IS Equity
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036,JBCP IS Equity
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,JKCE IS Equity
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051,JBMA IS Equity
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042,JKI IS Equity
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,JM IS Equity
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,JSW IS Equity
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,JSWINFRA IS Equity
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,JSTL IS Equity
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018,JPVL IS Equity
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041,JKBK IS Equity
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032,JSAW IS Equity
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,JDSL IS Equity
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,JINDALST IS Equity
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,JIOFIN IS Equity
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,JUBI IS Equity
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,JUBLINGR IS Equity
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,JUBLPHAR IS Equity
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,JWL IS Equity
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031,JYL IS Equity
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,JYOTICNC IS Equity
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,KPR IS Equity
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,KEII IS Equity
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,KPITTECH IS Equity
KSB Ltd.,Capital Goods,KSB,EQ,INE999A01023,KSB IS Equity
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,KJC IS Equity
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,KPIL IS Equity
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,KALYANKJ IS Equity
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,KVB IS Equity
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,KAYNES IS Equity
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,KECI IS Equity
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,KFINTECH IS Equity
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036,KKB IS Equity
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010,KOEL IS Equity
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,KMB IS Equity
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025,KIMS IS Equity
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,LTF IS Equity
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,LTTS IS Equity
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,LICHF IS Equity
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020,LTFOODS IS Equity
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,LTIM IS Equity
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,LT IS Equity
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,LATENTVI IS Equity
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,LAURUS IS Equity
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,LEMONTRE IS Equity
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,LICI IS Equity
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,LIIL IS Equity
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,LLOYDSME IS Equity
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,LODHA IS Equity
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,LPC IS Equity
MMTC Ltd.,Services,MMTC,EQ,INE123F01029,MMTC IS Equity
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,MRF IS Equity
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,MAHGL IS Equity
Maharashtra Scooters Ltd.,Financial Services,MAHSCOOTER,EQ,INE288A01013,MHSC IS Equity
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025,MHS IS Equity
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,MMFS IS Equity
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,MM IS Equity
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,MGFL IS Equity
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,MRPL IS Equity
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,MANKIND IS Equity
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,MRCO IS Equity
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,MSIL IS Equity
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,MAXF IS Equity
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,MAXHEALT IS Equity
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,MAZDOCKS IS Equity
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020,METROHL IS Equity
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,MDA IS Equity
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015,MSUMI IS Equity
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,MOFS IS Equity
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,MPHL IS Equity
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035,MCX IS Equity
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,MUTH IS Equity
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,NTCPH IS Equity
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,NBCC IS Equity
NCC Ltd.,Construction,NCC,EQ,INE868B01028,NJCC IS Equity
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NHPC IS Equity
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,NLC IS Equity
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,NMDC IS Equity
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,NSLNISP IS Equity
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,NTPCGREE IS Equity
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NTPC IS Equity
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,NARH IS Equity
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,NACL IS Equity
Nava Ltd.,Power,NAVA,EQ,INE725A01030,NAVA IS Equity
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,NFIL IS Equity
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,NEST IS Equity
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020,NETWEB IS Equity
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010,NLL IS Equity
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017,NEWGEN IS Equity
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,NAM IS Equity
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015,NIVABUPA IS Equity
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01015,NUVAMA IS Equity
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016,NUVOCO IS Equity
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,OBER IS Equity
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,ONGC IS Equity
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,OINL IS Equity
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,BE,INE0LXG01040,OLAELEC IS Equity
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,OLECTRA IS Equity
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,PAYTM IS Equity
Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE,EQ,INE013P01021,ONESOURC IS Equity
