1,2,3,4,5,6,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Symbol,Ticker,Cash ,Name,FUT_CONT_SIZE Sep,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last
,CCRI,CCRI IS Equity,CONTAINER CORP OF INDIA LTD,1250,CCRI=Q5 is equity,CCRI=U5 is equity,CONTAINER CORP Aug25,CONTAINER CORP Sep25,BBG01V9XSKZ5,BBG01VT8QNY5,1250,1250,538.15
,CROMP,CROMPTON IS Equity,CROMPTON GREAVES CONSUMER EL,1800,CROMP=Q5 is equity,CROMP=U5 is equity,CROMPTON GREAVES Aug25,CROMPTON GREAVES Sep25,BBG01V9XSC74,BBG01VT8QG43,1800,1800,324.4
CUMMINSIND,KKC,KKC IS Equity,CUMMINS INDIA LTD,200,KKC=Q5 is equity,KKC=U5 is equity,CUMMINS INDIA Aug25,CUMMINS INDIA Sep25,BBG01V9XSH37,BBG01VT8QKK6,200,200,3782.7
,CYL,CYL IS Equity,CYIENT LTD,425,CYL=Q5 is equity,CYL=U5 is equity,CYIENT LTD Aug25,CYIENT LTD Sep25,BBG01V9XSD45,BBG01VT8QH14,425,425,1171.6
,DABUR,DABUR IS Equity,DABUR INDIA LTD,1250,DABUR=Q5 is equity,DABUR=U5 is equity,Dabur India Ltd Aug25,Dabur India Ltd Sep25,BBG01V9XSG75,BBG01VT8QJR2,1250,1250,504.4
DALBHARAT,DALBH,DALBHARA IS Equity,DALMIA BHARAT LTD,325,DALBH=Q5 is equity,DALBH=U5 is equity,DALMIA BHARAT Aug25,DALMIA BHARAT Sep25,BBG01V9XSC83,BBG01VT8QG61,325,325,2270.2
,DELHV,DELHIVER IS Equity,DELHIVERY LTD,2075,DELHV=Q5 is equity,DELHV=U5 is equity,DELHIVERY LTD Aug25,DELHIVERY LTD Sep25,BBG01V9XSD54,BBG01VT8QH23,2075,2075,466.55
,DIVI,DIVI IS Equity,DIVI'S LABORATORIES LTD,100,DIVI=Q5 is equity,DIVI=U5 is equity,Divi's Lab Ltd Aug25,Divi's Lab Ltd Sep25,BBG01V9XSJM2,BBG01VT8QMK2,100,100,6165.5
,DIXON,DIXON IS Equity,DIXON TECHNOLOGIES INDIA LTD,50,DIXON=Q5 is equity,DIXON=U5 is equity,DIXON TECHNOLOGI Aug25,DIXON TECHNOLOGI Sep25,BBG01V9XSC29,BBG01VT8QFZ1,50,50,16045
,DLFU,DLFU IS Equity,DLF LTD,825,DLFU=Q5 is equity,DLFU=U5 is equity,DLF Ltd Aug25,DLF Ltd Sep25,BBG01V9XSK21,BBG01VT8QN20,825,825,755
DMART,DMART,DMART IS Equity,AVENUE SUPERMARTS LTD,150,DMART=Q5 is equity,DMART=U5 is equity,AVENUE SUPERMART Aug25,AVENUE SUPERMART Sep25,BBG01V9XSD63,BBG01VT8QH32,150,150,4325
DRREDDY,DRRD,DRRD IS Equity,DR. REDDY'S LABORATORIES,625,DRRD=Q5 is equity,DRRD=U5 is equity,DR REDDY'S LABS Aug25,DR REDDY'S LABS Sep25,BBG01V9XSGG5,BBG01VT8QJY4,625,625,1254.7
EICHERMOT,EIM,EIM IS Equity,EICHER MOTORS LTD,175,EIM=Q5 is equity,EIM=U5 is equity,Eicher Motors Aug25,Eicher Motors Sep25,BBG01V9XSKL0,BBG01VT8QNL9,175,175,5749.5
ETERNAL,ETERN,ETERNAL IS Equity,ETERNAL LTD,2425,ETERN=Q5 is equity,ETERN=U5 is equity,ETERNAL LTD Aug25,ETERNAL LTD Sep25,BBG01V9XSDL6,BBG01VT8QHF9,2425,2425,311.45
,EXID,EXID IS Equity,EXIDE INDUSTRIES LTD,1800,EXID=Q5 is equity,EXID=U5 is equity,EXIDE Industries Aug25,EXIDE Industries Sep25,BBG01V9XSG48,BBG01VT8QJN6,1800,1800,373.5
FEDERALBNK,FB,FB IS Equity,FEDERAL BANK LTD,5000,FB=Q5 is equity,FB=U5 is equity,Federal Bank Ltd Aug25,Federal Bank Ltd Sep25,BBG01V9XSH00,BBG01VT8QKG1,5000,5000,195.54
,GAIL,GAIL IS Equity,GAIL INDIA LTD,3150,GAIL=Q5 is equity,GAIL=U5 is equity,Gail India Ltd Aug25,Gail India Ltd Sep25,BBG01V9XSJ51,BBG01VT8QM31,3150,3150,173.54
